,Company Name,Address,City,State,ZIP_Code,Record_Type,Neighborhood,Carrier_Route,helper,latitude,longitude
61,Sbarro,50 Union Ave # 1,New Haven,CT,6519,Verified,Long Wharf,C013,50 Union Ave # 1 New Haven CT 6519,41.2975025,-72.9266552
62,Spooner Restaurant & Pizza,1400 Whalley Ave,New Haven,CT,6515,Verified,Amity,C051,1400 Whalley Ave New Haven CT 6515,41.333081,-72.975908
63,Tarry Lodge,278 Park St,New Haven,CT,6511,Verified,Downtown New Haven,C036,278 Park St New Haven CT 6511,41.3111434,-72.9320122
64,Tomato & Co,72 Church St,New Haven,CT,6510,Verified,Downtown New Haven,C018,72 Church St New Haven CT 6510,41.3055024,-72.9267354
65,Townhouse Pizza,246 Kimberly Ave,New Haven,CT,6519,Verified,Hill,C038,246 Kimberly Ave New Haven CT 6519,41.2858103,-72.9361731
66,Triple AAA Pizza Restaurant,383 Whalley Ave,New Haven,CT,6511,Verified,Beaver Hills,C017,383 Whalley Ave New Haven CT 6511,41.3180765,-72.9455503
67,USA 1 Pizza,216 Grand Ave,New Haven,CT,6513,Verified,Fair Haven,C014,216 Grand Ave New Haven CT 6513,41.3089913,-72.8957029
68,Wall Street Pizza & Restaurant,90 Wall St,New Haven,CT,6511,Verified,Downtown New Haven,C110,90 Wall St New Haven CT 6511,41.3103196,-72.9255916
69,Westville Pizza,883 Whalley Ave # 1,New Haven,CT,6515,Verified,Westville,C060,883 Whalley Ave # 1 New Haven CT 6515,41.3270574,-72.95964
70,Whalley Pizza,350 Whalley Ave,New Haven,CT,6511,Verified,Edgewood,C017,350 Whalley Ave New Haven CT 6511,41.3170412,-72.9444775
71,Yorkside Pizza & Restaurant,288 York St,New Haven,CT,6511,Verified,Downtown New Haven,C027,288 York St New Haven CT 6511,41.3113545,-72.9298482
72,Ziggy's Pizza Restaurant,36 E Grand Ave,New Haven,CT,6513,Verified,Fair Haven Heights,C080,36 E Grand Ave New Haven CT 6513,41.3084396,-72.8862024
73,Zinc,964 Chapel St,New Haven,CT,6510,Verified,Downtown New Haven,C104,964 Chapel St New Haven CT 6510,41.3067054,-72.9279814
